number_plate,image_link,detected_number_plate,driver_violation,passenger_violation,message
KA09MH5124,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MH5124_1764406185528.jpg,,,,No violation detected - all occupants wearing seatbelts
KA13N5949,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA13N5949_1764395360946.jpg,,,,No violation detected - all occupants wearing seatbelts
KA55M2358,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA55M2358_1764404346799.jpg,KA55M2358 (0.954),,passenger_not_wearing_seatbelt (0.50),Violation detected
KA05MA1528,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA05MA1528_1764390027466.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09F5363,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09F5363_1764391304722.jpg,,,,No violation detected - all occupants wearing seatbelts
KA10M2993,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA10M2993_1764390601612.jpg,,,,No violation detected - all occupants wearing seatbelts
KA51MK8017,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA51MK8017_1764390692804.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09G0887,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09G0887_1764394278572.jpg,,,,No violation detected - all occupants wearing seatbelts
KA16P2838,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA16P2838_1764405597979.jpg,,,,No violation detected - all occupants wearing seatbelts
KA53MD6043,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA53MD6043_1764388603775.jpg,KA53MD6043 (0.991),,passenger_not_wearing_seatbelt (0.74),Violation detected
KA05MA4461,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA05MA4461_1764382710160.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09F4773,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09F4773_1764394550386.jpg,,,,No violation detected - all occupants wearing seatbelts
KA45G0049,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA45G0049_1764403821547.jpg,,,,No violation detected - all occupants wearing seatbelts
KA01MQ1097,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA01MQ1097_1764396728245.jpg,,,,No violation detected - all occupants wearing seatbelts
KA05MD1580,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA05MD1580_1764383259480.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MG5373,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MG5373_1764383793622.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09F4816,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09F4816_1764382710118.jpg,,,,No violation detected - all occupants wearing seatbelts
KA02MS3548,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA02MS3548_1764406888303.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MF8588,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MF8588_1764378656043.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09N4416,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09N4416_1764401960304.jpg,KA09N4416 (0.991),,passenger_not_wearing_seatbelt (0.47),Violation detected
KA04MN7043,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA04MN7043_1764386660687.jpg,,,,No violation detected - all occupants wearing seatbelts
